name,primary_contact_name,primary_mobile,alternate_mobile,whatsapp_number,email,deals_in,address,city,pincode,timings,website,remarks,is_active
Driver from Driveu,,,,,,Transport,,,,,,"[Imported from supplier master sheet, Supplier ID 22]",True
Uber,,,,,,Transport,,,,,,"[Imported from supplier master sheet, Supplier ID 23]",True
Vistaprint,,,,,,Printing,,,,,,"[Imported from supplier master sheet, Supplier ID 24]",True
Wondershop,,9742240477,,,,Stationery Store,,,,,,"[Imported from supplier master sheet, Supplier ID 25]",True
Ikea,,,,,,Furniture,,,,,,"[Imported from supplier master sheet, Supplier ID 26]",True
Fatima - Earthn Art,,9985016369,,,,Ceramic,,,,,,"[Imported from supplier master sheet, Supplier ID 27]",True
Bhoomi - Learn & Art Andheri,,8850868045,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 28]",True
Vaseem Saifi Artist,,8168916448,,,,Instructor,,,,,,"Last purchased: 13th Oct 2023 | [Imported from supplier master sheet, Supplier ID 29]",True
Umesh Ashar Corkboard,,,,,,Furniture,,,,,,"[Imported from supplier master sheet, Supplier ID 30]",True
Amazon,,,,,,Ecomm,,,,,,"[Imported from supplier master sheet, Supplier ID 31]",True
Shivani Cleaning Maid,,,,,,Cleaner,,,,,,"Last purchased: 12th Oct 2023 | [Imported from supplier master sheet, Supplier ID 32]",True
Nishit Trading Co,,9082807730,,,ntc9909@hotmmail.com,"Packaging — Gift, Paper, Packaging material","79/71, Sutar Chawl, Zaveri Bazaar, Mumbai 400002",,,,,"Last purchased: 13th Oct 2023 | Office: 022-23436466 | [Imported from supplier master sheet, Supplier ID 33]",True
Prakash Stores,,,,,,Gift Shop — Tealight Candles,Crawford,,,,,"Last purchased: 13th Oct 2023 | [Imported from supplier master sheet, Supplier ID 34]",True
Jannuddin Tavvali - carry bags,,,,,,"Packaging — Carry bags, plastic packaging, ziplocks",,,,,,"Starting shop near the chach counter | Last purchased: 13th Oct 2023 | [Imported from supplier master sheet, Supplier ID 35]",True
The House of Cane,,9819331853,,9819331853,,"Packaging — Wicker Cane Baskets, Bamboo Baskets, Wooden Products, Aluminium Baskets","Shop No 524 Gate No 9, Inside Crawford Market, Maharashtra 400001",,,,,"Last purchased: 13th Oct 2023 | [Imported from supplier master sheet, Supplier ID 36]",True
Mahavir Plastic Bhandar,,8928719651,,,,"Packaging — Gift Box, Lifafa, Paper Gift Box, Paper Box and Round Box","284, 9/10, Seth Hajee Cadsam, Agboateala Charities, Abdul Rehman Street, Masjid Bunder, Mumbai - 400003",,,,,"Last purchased: 13th Oct 2023 | [Imported from supplier master sheet, Supplier ID 37]",True
Pattiwala,,,,,,Transport,Crawford,,,,,"Last purchased: 1st July 2023 | [Imported from supplier master sheet, Supplier ID 38]",True
Bhushan Mom,,9833483322,,,,Gift Shop,,,,,,"Last purchased: 14th Oct 2023 | [Imported from supplier master sheet, Supplier ID 39]",True
Sanchi,,8237636900,,,,Gift Shop,,,,,,"Last purchased: 15th Oct 2023 | [Imported from supplier master sheet, Supplier ID 40]",True
Rossa L'Vita,,9811431643,,,,Gift Shop,,,,,,"Last purchased: 15th Oct 2023 | [Imported from supplier master sheet, Supplier ID 41]",True
Ishali Sharma - glittering smiles,,8447346980,,,,Gift Shop,Delhi,,,,,"Last purchased: 18th Oct 2023 | [Imported from supplier master sheet, Supplier ID 42]",True
Rehman Key Maker,,,,,,Utility,,,,,,"Last purchased: 19th Oct 2023 | [Imported from supplier master sheet, Supplier ID 43]",True
Mona Didi,,8826010031,,,,Gift Shop,,,,,,"Last purchased: 19th Oct 2023 | [Imported from supplier master sheet, Supplier ID 44]",True
Facebook/IG Marketing,,,,,,Marketing,,,,,,"Last purchased: 1st Oct 2023 | [Imported from supplier master sheet, Supplier ID 45]",True
Chhamma Tat Wala,,9810756356,9868151259,,,Packaging — Wholesale Dealers in packaging material,"790, Chaman Wala Pech, Near Gali No. 11, Bartan Market, Sadar Bazaar, Delhi 110006",,,,,"Last purchased: 27th Oct 2023 | Additional numbers: 9811113240 | [Imported from supplier master sheet, Supplier ID 46]",True
National Plastic,Danish / Qasim,9899424264,9312537172,,national.plastis@rocketmail.com,"Packaging — Non Woven Bags, Paper Bags & Packing Material","817/A, Pan Mandi, Sadar Bazaar, Delhi 6",,,,,"Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 47]",True
Sindhu Tat Patti Wala,,7982600973,9315667611,,,"Festive — Manufacturer & Wholesaler - fancy rakhi, lumbe, colours, rangoli, christmas decorations, diwali decorations, handcraft items, janamashtmi decorations","530/531, Gali Bajajan, Sadar Bazaar, Delhi 6",,,,,"got rangoli & heavy diwali hangings from here (1800 wali) | Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 48]",True
Standard Jewellery Box,Altaf / Luve,8448805172,8920974913,,,"Packaging — Saree Cover, Envelopes, Paper Bags, Fancy Potli","636, Gali No. 11, Sadar Bazaar, Delhi 6",,,,,"got bag with moti bangle handle from here, Rs. 60 per pc. MOQ 100/500 depending on material availability | Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 49]",True
Sai Creations,Sanjeev Sangari,9811415526,,,saicreations2662@gmail.com,Packaging — Wholesale Packaging Shop,"847, Pan Mandi, Near Narain Market, Sadar Bazaar, Delhi 6",,,,,"got 5 boxes @ 90 Rs. pc cardboard from here | Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 50]",True
Mahavir Engineers,Vasdev Lalwani / Kapil Lalwani,9821993210,9769397304,,mahavir.engineers@gmail.com,"Furniture — slotted angles, storage racks, mezzanine floors, garment tables, etc.","Unit No. 44/A Wing, 1st Floor. Ghanshyam Industrial Estate, Veera Desai Road, Andheri(W), Mumbai 400053",,,,,"contacted for slotted angle racks, but got from Raza traders finally | Last purchased: 27th Oct 2023 | Office: 022-26732138 | [Imported from supplier master sheet, Supplier ID 51]",True
Sewden,Kriti / Varsha,9619508163,9414089381,,,Gift Shop — Crochet items,BKC Mall,,,,,"saw her stall in mall with crochet items | Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 52]",True
Kaiff Handicraft,Hamid Bhai,9690759743,7351600972,,,Festive — wholesale & manfuacturers of decorations,"477/A, Bartan Market, Sadar Bazaar, Delhi 6 (opposite to main road sadar bazaar gandhi market)",,,,,"got diwali decorations from him, quite good | Last purchased: 27th Oct 2023 | Additional numbers: 7983617979 | [Imported from supplier master sheet, Supplier ID 53]",True
Local Sadar Bazar Supplier,,,,,,Festive,,,,,,"Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 54]",True
Shreeyas group,,7718925803,,,shreeyasblessings@gmail.com,"Art Store — Bags, Pouches, travel organizers, passport covers, Aprons, Kids DIY Kits",,,,,,"Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 55]",True
Reliance Digital,,,,,,Furniture — Rcity,,,,,,"Last purchased: 27th Oct 2023 | [Imported from supplier master sheet, Supplier ID 56]",True
Printo,,,,,,Printing — Online,,,,,,"Last purchased: 28th Oct 2023 | [Imported from supplier master sheet, Supplier ID 57]",True
Itsy Bitsy,,,,,,Art Store,Rcity Ghatkopar,,,,,"Last purchased: 5th Nov 2023 | [Imported from supplier master sheet, Supplier ID 58]",True
Neeta Goenka,,9560896590,,,,Gift Shop,,,,,,"Last purchased: 4th Oct 2023 | [Imported from supplier master sheet, Supplier ID 58]",True
B1 Management Committee,,,,,,Utility,B1-Godrej Platinum,,,,,"Last purchased: 15th Nov 2023 | [Imported from supplier master sheet, Supplier ID 58]",True
Supriya Fast Food,9005365694,,,,,Food,Ghatkopar East,,,,,"Farshan shop for Shweta's gift packs | Last purchased: 15th Nov 2023 | [Imported from supplier master sheet, Supplier ID 59]",True
Chhaadwa,9869856883,,,,,Food,Ghatkopar West,,,,,"Last purchased: 15th Nov 2023 | [Imported from supplier master sheet, Supplier ID 60]",True
The Paper Magic Supplies,7685002094,,,,,Printing,,,,,,"Last purchased: 22nd Nov 2023 | [Imported from supplier master sheet, Supplier ID 61]",True
GoDaddy,,,,,,Utility,,,,,,"Last purchased: 23rd Nov 2023 | [Imported from supplier master sheet, Supplier ID 62]",True
Toycra - SM Enterprises,Amit,9820261624,,,,Art Store — Toys,Mulund,,,,,"Last purchased: 23rd Nov 2023 | [Imported from supplier master sheet, Supplier ID 63]",True
Skillmatics,,9029280571,,,,Art Store,,,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 64]",True
Tristar Trading Co.,Pritesh Shah,9821719383,,,,"Art Store — Hanfmade Paper, Paper Bag, Fancy Envelopes, Potli","12/14, Sutar Chawl, Abdul Rehmaan Street, Mumbai 400002",,,,,"Last purchased: 24th Nov 2023 | Office: 022-49677054 | [Imported from supplier master sheet, Supplier ID 65]",True
AR Hangers,,,,,,Furniture,,,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 66]",True
Rolex,,,,,,Art Store,,,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 67]",True
F.A. Mohsinbhoy & Co.,,,,,famco5253@gmail.com,"Packaging — All types of disposables, gift boxes, paper bags & party products","30, Sutar Chawl, Mumbai 400002",,,,,"Last purchased: 24th Nov 2023 | Office: 022-23421486 | [Imported from supplier master sheet, Supplier ID 68]",True
Saifee Creation,,9322246849,9869391752,,,"Decoration Shop — Balloons & Decors, paper & Metallic Decorations, birthday party stuff","7/9, Sutar Chawl, Mumbai 400002",,,,,"Last purchased: 24th Nov 2023 | Office: 022-23448908 | [Imported from supplier master sheet, Supplier ID 69]",True
Puja Trading Company,Rutraj R Mohire,9820753320,,,pujatradingcompany2017@gmail.com,"Decoration Shop — Birthdat Party items, tinsel garlends, ganpati decorations, diwali lanterns, xmas decoration, disposables","14 A-1, Sutar Chwal, Sasur Building, Ground Floor, Mumbai 400002",,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 70]",True
Local Food Vendor,,,,,,Food,,,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 71]",True
Haaji Bhai,,,,,,Misc,,,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 72]",True
KoKo - The Party Products,,7977718909,,,,Decoration Shop,"338 - 340, Abdul Rehman Street, Near Crawford Market, Mumbai - 400003",,,,,"Last purchased: 24th Nov 2023 | [Imported from supplier master sheet, Supplier ID 73]",True
Diamond Creation,,9619962308,,,vijayhnisar@rediffmail.com,"Gift Shop — Imitation Jewellery, Earrings, Western Necklace, potli and batwa","78/83, Sutar Chawl, Near Zaveri Bazar, Ground Floor, Mumbai 400002",,,,,"12 Rs. per pouch for Wondershop pouch - jute with logo | Last purchased: 24th Nov 2023 | Office: 022-23453862 | [Imported from supplier master sheet, Supplier ID 74]",True
SM Enterprises Mulund,Amit,9820261624,,,,Toys — Toys,Mulund,,,,,"Last purchased: 29th Nov 2023 | [Imported from supplier master sheet, Supplier ID 75]",True
Ko Necessity - stamps custom,,,,,,Utility,,,,,,"Last purchased: 1st Dec 2023 | [Imported from supplier master sheet, Supplier ID 76]",True
Shri Maruthi Courier,,9220961255,,,,Transport,,,,,,"Last purchased: 11th Dec 2023 | [Imported from supplier master sheet, Supplier ID 77]",True
Hussain Bhai - Ghatkopar Link Road,,,,,,Art Store — LED Light Wondershop,,,,,,"Last purchased: 12th Dec 2023 | [Imported from supplier master sheet, Supplier ID 78]",True
Verma Services,,8286608945,,,,,,,,,,"Last purchased: 14th Dec 2023 | [Imported from supplier master sheet, Supplier ID 79]",True
Corugami ( c/o Mondesso Packaging Pvt. Ltd),,7774086396,,,,Packaging,"9th Floor, Flat No. 901, C Wing, (Various) Marvel Aurum,
Plot No. 364/2, Lane No. 7, Koregaon Park
Pune - 411001, Maharashtra, India
GSTIN: 27AALCM3372P1ZR",,,,,"Last purchased: 14th Dec 2023 | [Imported from supplier master sheet, Supplier ID 80]",True
Anjali,,8928501747,,,,Volunteer,,,,,,"Last purchased: 17th Dec 2023 | [Imported from supplier master sheet, Supplier ID 81]",True
Metro Covers,Farhan / Wasim,9821320768,9833760278,,,"Saree covers, washing machine covers, fridge top, table covers, antislip mats, yoga mats, trousseu packing","221/4, Janjikar Street, Mumbai 400003",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 82]",True
Mirzaan Enterprises,Hashim,9322509928,,,mirzaanent@gmail.com,"Wholesale & distributor of greeting cards, fancy envelopes, stationery, stickers & gift articles","252, Abdul Rehmaan Street, Mumbai 400003",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 83]",True
Nutmeg,,8976178771,,,mnutmeg21@gmail.com,"Stationery & More, chinese products","15, Sutar Chawl, Shop. No. 1, Ground Floor, Mumbai 400002",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 84]",True
Firoz Kurbanhusein,Murtuza,9867213645,,,firozkurbanhusein@gmail.com,Tapes,"42/44, Sutar Chawl, Ground Floor, Mumbai 400002",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 85]",True
Rolex,,,,,,"Wrapping paper, bow, boxes",,,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 86]",True
Jagaseth,,,,,,Keychains,,,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 87]",True
Azgar Ali,,,,,,,,,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 88]",True
Saify & Company (Tapes),Gaffar,9892229087,9167842030,,,"Adhesive Teapes, Cutlery Items","223 B, Abdul Rehman Street, Mumbai 400003",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 89]",True
Asgarally Kurbanhusein & Co.,Abdullabhai / Khozema/Shabbir,9833665674,9967655369,,,"Balloons, Birthday Party & Festival Decoration","58/A, Sutar Chawl, Mumbai 400002",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 90]",True
Chandrakant Digital Point,Ghanshyam Vaviya,,,,chandrakant_digital@yahoo.in,"Xerox, Stationery, Printing","C-18, G Floor, Kailash Esplande, Opposite Shreyas Cinema, Ghatkopar, Mumbai 400086",,,,,"Last purchased: 22nd Dec 2023 | Raw contact no. (unparsed): 022-25003965 | [Imported from supplier master sheet, Supplier ID 91]",True
Toy Kingdom,,7777041555,,,info@toykingdom.in,"Toy Store, importers and wholesale dealers of toys adn rideon items","186-188-190, Sheriff Devji Street, Unity Chs., Shop No. 2, Mumbai 400003",,,,,"Last purchased: 22nd Dec 2023 | [Imported from supplier master sheet, Supplier ID 92]",True
Bangalore Iyenger Bakery,,9167694265,,,,,,,,,,"Last purchased: 23rd Dec 2023 | [Imported from supplier master sheet, Supplier ID 93]",True
Shree Maruthi Courier,,9220961255,,,,,,,,,,"Last purchased: 10th Dec 2023 | [Imported from supplier master sheet, Supplier ID 94]",True
Shree Ram Enterprises,,,,,,Electrician - Kannamanagar Vikhroli,,,,,,"Last purchased: 1st Jan 2024 | [Imported from supplier master sheet, Supplier ID 95]",True
Sai Events - Salomi,,7506326362,,,,,,,,,,"Last purchased: 24th Dec 2023 | [Imported from supplier master sheet, Supplier ID 96]",True
Tata Play Fiber,,,,,,,,,,,,"Last purchased: 2nd Jan 2024 | [Imported from supplier master sheet, Supplier ID 97]",True
Sunil - Chair Khushal,,9224201185,,,,,,,,,,"Last purchased: 3rd Jan 2024 | [Imported from supplier master sheet, Supplier ID 98]",True
Suresh - Mitsuibitshi AC Technician,,8879785534,,,,,,,,,,"Last purchased: 5th Jan 2024 | [Imported from supplier master sheet, Supplier ID 99]",True
Koolwell AC David Chembur,,8591695852,,,,,,,,,,"Last purchased: 6th Jan 2024 | [Imported from supplier master sheet, Supplier ID 100]",True
Kavin Panchal Vivaa Seating,,9820763169,,,,,,,,,,"Last purchased: 5th Jan 2024 | [Imported from supplier master sheet, Supplier ID 101]",True
Rajneesh Raju Nursery,,7493826137,,,,"Ghatkopar, Near police grounds",,,,,,"Last purchased: 12th Jan 2024 | [Imported from supplier master sheet, Supplier ID 102]",True
Hari Bhai,,9892328129,,,,,"Dharavi, Kamraj School. Taxi from Sion Station",,,,,"Last purchased: 14th Jan 2024 | [Imported from supplier master sheet, Supplier ID 103]",True
Surat Potteries,,,,,,,,,,,,"Last purchased: 14th Jan 2024 | [Imported from supplier master sheet, Supplier ID 104]",True
Vidhi Creations,Ainl Mewada,8692803487,7021497650,,vidhicre023@gmail.com,,"Dharavi, Kumharwada, 90 feet road, opp. sunder villas road, 400017",,,,,"Last purchased: 14th Jan 2024 | [Imported from supplier master sheet, Supplier ID 105]",True
Swastic Electronics,,,,,,,,,,,,"Last purchased: 14th Jan 2024 | [Imported from supplier master sheet, Supplier ID 106]",True
Ugaoo,,,,,,,,,,,,"Last purchased: 15th Jan 2024 | [Imported from supplier master sheet, Supplier ID 107]",True
Blinkit,,,,,,,,,,,,"Last purchased: 15th Jan 2024 | [Imported from supplier master sheet, Supplier ID 108]",True
Ace Telecom Mulund (SM Enterprises),Amit,9820261624,,,,Toys,Mulund,,,,,"Last purchased: 22nd Jan 2024 | [Imported from supplier master sheet, Supplier ID 109]",True
Good Luck Frame & Art,M. Kasim,9769619532,,,,Photo Frame,"Shop No. 6, Trinity Society, Near Hiranandani Hospital, IIT Market, Powai",,,,,"Last purchased: 25th Feb 2024 | [Imported from supplier master sheet, Supplier ID 110]",True
Trith - Andheri Printers,,9768049075,,,,pamphlets,Andheri East,,,,,"Last purchased: 26th Feb 2024 | [Imported from supplier master sheet, Supplier ID 111]",True
Varsha Art Teacher,,9987275593,,,,Instructor,,,,,,"Last purchased: 28th Feb 2024 | [Imported from supplier master sheet, Supplier ID 112]",True
Sujatha Maid,,9967314902,,,,,,,,,,"Last purchased: 29th Feb 2024 | [Imported from supplier master sheet, Supplier ID 113]",True
Pushkar Newspaper,,6350228554,,,,Platinum Newspaper Vendor for flyers,,,,,,"Last purchased: 3rd Mar 2024 | [Imported from supplier master sheet, Supplier ID 114]",True
Ravi Newspaper,,9969046830,,,,Platinum Newspaper Vendor for flyers,,,,,,"Last purchased: 3rd Mar 2024 | [Imported from supplier master sheet, Supplier ID 115]",True
Keshav Newspaper,,8850463988,,,,Trees Newspaper Vendor for flyers,,,,,,"Last purchased: 3rd Mar 2024 | [Imported from supplier master sheet, Supplier ID 116]",True
Sachin Newspaper,,9867771979,,,,Trees Newspaper Vendor for flyers,,,,,,"Last purchased: 3rd Mar 2024 | [Imported from supplier master sheet, Supplier ID 117]",True
Brain Wave Sejal,,7888588897,,,,Colaba,,,,,,"Last purchased: 10th Mar 2024 | [Imported from supplier master sheet, Supplier ID 118]",True
Pranali,,8828937882,,,,,,,,,,"Last purchased: 11th Mar 2024 | [Imported from supplier master sheet, Supplier ID 119]",True
Fashion Vista,Pratham Talpade,9833493509,,,,Tshirt Print,,,,,,"Last purchased: 13th Mar 2024 | [Imported from supplier master sheet, Supplier ID 120]",True
Ajanta Cab Driver,,9819991339,,,,,,,,,,"Last purchased: 13th Mar 2024 | [Imported from supplier master sheet, Supplier ID 121]",True
Aruna Ramakrishnan,,7400406071,,,,,,,,,,"Last purchased: 17th Mar 2024 | [Imported from supplier master sheet, Supplier ID 122]",True
Sunil Auto Vikhroli,,,,,,,,,,,,"Last purchased: 17th Mar 2024 | [Imported from supplier master sheet, Supplier ID 123]",True
Ronak Decorators Tagore Nagar Vikhroli,,,,,,,,,,,,"Last purchased: 17th Mar 2024 | [Imported from supplier master sheet, Supplier ID 124]",True
Auto Guy,,,,,,,,,,,,"Last purchased: 17th Mar 2024 | [Imported from supplier master sheet, Supplier ID 125]",True
Hungry Heads,,,,,,Food Vendor for Events,,,,,,"Last purchased: 17th Mar 2024 | [Imported from supplier master sheet, Supplier ID 126]",True
Chai Point,,,,,,,,,,,,"Last purchased: 17th Mar 2024 | [Imported from supplier master sheet, Supplier ID 127]",True
Shilpa,,9326093978,,,,,,,,,,"Last purchased: 21st Mar 2024 | [Imported from supplier master sheet, Supplier ID 128]",True
Sarovar Electrician Chedda Nagar,,8905999836,,,,,,,,,,"Last purchased: 21st Mar 2024 | [Imported from supplier master sheet, Supplier ID 129]",True
Ganesh,,7045851791,,,,,,,,,,"Last purchased: 31st Mar 2024 | [Imported from supplier master sheet, Supplier ID 130]",True
Badli Maid,,,,,,,,,,,,"Last purchased: 31st Mar 2024 | [Imported from supplier master sheet, Supplier ID 131]",True
Nidas Traders,,9029222999,,7710909143,,,"Shop no 333, Abdul Rehman St, opp. Market Halai Memon Jamatkhana, Near Crawford Market, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400003",,,,,"Last purchased: 1st April 2024 | [Imported from supplier master sheet, Supplier ID 132]",True
Ajanta Wood,,9930686666,,,,,"Gala No-02, Plot No 66/74, Opp. Electric Crematorium, Chandanwadi Road, Mumbai - 400002. Near Marine Lines Station East",,,,,"Last purchased: 1st April 2024 | [Imported from supplier master sheet, Supplier ID 133]",True
Jolly Printers,,9811395558,,,,,"Naraina, Delhi",,,,,"Last purchased: 5th April 2024 | [Imported from supplier master sheet, Supplier ID 134]",True
Sainath Event,,8422041055,,,,,,,,,,"Last purchased: 17th April 2024 | [Imported from supplier master sheet, Supplier ID 135]",True
Aditya Event,,9224707174,,,,,,,,,,"Last purchased: 17th April 2024 | [Imported from supplier master sheet, Supplier ID 136]",True
Borzo / Wefast,,,,,,,,,,,,"Last purchased: 18th April 2024 | [Imported from supplier master sheet, Supplier ID 137]",True
Ratna,,9830099525,,,,"Candles, Gift Packs, Jute",,,,,,"Last purchased: 26th April 2024 | [Imported from supplier master sheet, Supplier ID 138]",True
Ethica Handloom and Handicrafts Pvt Ltd Jute,,7559171191,,,teamethica@gmail.com,"Manufacturer / Wholesaler / Exporter of Bamboo, Cane, Wicker Handicrafts, Jute Bags, Kauna Grass (Water Reed) and Water Hyacinth products",Tripura,,,,https://www.ethicaonline.com/,"Last purchased: 26th April 2024 | [Imported from supplier master sheet, Supplier ID 139]",True
Ajanta Personalization Hub,,9819234252,,,,,,,,,,"Last purchased: 26th April 2024 | [Imported from supplier master sheet, Supplier ID 140]",True
Mobeeta,,9360121234,,,,Mobile Accessories,"Office No. 7, 1st Floor, Above BOI Bank, Alankar Building, Balaram Street, Grant Road (East), Mumbai - 400007.",,,,,"Last purchased: 1st May 2024 | [Imported from supplier master sheet, Supplier ID 141]",True
New Variety International,,8169481296,,,,,,,,,,"Last purchased: 13th May 2024 | [Imported from supplier master sheet, Supplier ID 142]",True
